User Name: Aarav Sharma
Account Number: 111111001
Bank: ABC Bank
Branch: New York
IFSC: BANK0000001

Date,Transaction ID,Description,Debit,Credit,Balance
2026-01-01,TXN01001,Money Transfer,1702.5,,5498.5
2026-01-02,TXN01002,Salary,,1647.81,7146.31
2026-01-03,TXN01003,Insurance Payment,1533.88,,5612.43
2026-01-04,TXN01004,Insurance Payment,1320.61,,4291.82
2026-01-05,TXN01005,Electricity Bill,233.03,,4058.79
2026-01-06,TXN01006,ATM Withdrawal,1791.97,,2266.82
2026-01-07,TXN01007,Mobile Recharge,893.9,,1372.92
2026-01-08,TXN01008,ATM Withdrawal,1406.87,,-33.95
2026-01-09,TXN01009,Grocery Store,1457.0,,-1490.95
2026-01-10,TXN01010,Electricity Bill,1202.75,,-2693.7
2026-01-11,TXN01011,Salary,,4556.42,1862.72
2026-01-12,TXN01012,ATM Withdrawal,93.53,,1769.19
2026-01-13,TXN01013,Fuel,1105.75,,663.44
2026-01-14,TXN01014,Mobile Recharge,1388.64,,-725.2
2026-01-15,TXN01015,Mobile Recharge,1465.41,,-2190.61
2026-01-16,TXN01016,Refund,,1497.61,-693.0
2026-01-17,TXN01017,Insurance Payment,1881.38,,-2574.38
2026-01-18,TXN01018,Refund,,1548.88,-1025.5
2026-01-19,TXN01019,Electricity Bill,1369.85,,-2395.35
2026-01-20,TXN01020,Insurance Payment,1906.88,,-4302.23
2026-01-21,TXN01021,ATM Withdrawal,861.55,,-5163.78
2026-01-22,TXN01022,Refund,,4649.85,-513.93
2026-01-23,TXN01023,Salary,,1336.58,822.65
2026-01-24,TXN01024,Subscription,1726.9,,-904.25
2026-01-25,TXN01025,Salary,,3844.16,2939.91
2026-01-26,TXN01026,Subscription,1947.84,,992.07
2026-01-27,TXN01027,Refund,,4713.98,5706.05
2026-01-28,TXN01028,Mobile Recharge,1040.05,,4666.0
2026-01-01,TXN01029,Fuel,420.21,,4245.79
2026-01-02,TXN01030,Grocery Store,1195.78,,3050.01
2026-01-03,TXN01031,Insurance Payment,1700.08,,1349.93
2026-01-04,TXN01032,Refund,,2270.09,3620.02
2026-01-05,TXN01033,ATM Withdrawal,986.44,,2633.58
2026-01-06,TXN01034,Subscription,1604.94,,1028.64
2026-01-07,TXN01035,Mobile Recharge,1346.25,,-317.61
2026-01-08,TXN01036,Restaurant,1120.16,,-1437.77
2026-01-09,TXN01037,Subscription,1562.88,,-3000.65
2026-01-10,TXN01038,Subscription,780.67,,-3781.32
2026-01-11,TXN01039,Insurance Payment,1344.33,,-5125.65
2026-01-12,TXN01040,Salary,,4002.99,-1122.66
2026-01-13,TXN01041,Refund,,4279.78,3157.12
2026-01-14,TXN01042,Restaurant,1004.9,,2152.22
2026-01-15,TXN01043,ATM Withdrawal,965.17,,1187.05
2026-01-16,TXN01044,Grocery Store,1421.6,,-234.55
2026-01-17,TXN01045,Money Transfer,1206.71,,-1441.26
2026-01-18,TXN01046,Mobile Recharge,1311.95,,-2753.21
2026-01-19,TXN01047,Online Shopping,1029.37,,-3782.58
2026-01-20,TXN01048,ATM Withdrawal,1552.52,,-5335.1
2026-01-21,TXN01049,Refund,,4640.39,-694.71
2026-01-22,TXN01050,Refund,,1544.79,850.08
2026-01-23,TXN01051,Refund,,2047.22,2897.3
2026-01-24,TXN01052,Money Transfer,738.88,,2158.42
2026-01-25,TXN01053,Grocery Store,1335.47,,822.95
2026-01-26,TXN01054,Money Transfer,1916.38,,-1093.43
2026-01-27,TXN01055,ATM Withdrawal,798.19,,-1891.62
2026-01-28,TXN01056,Subscription,1049.37,,-2940.99
2026-01-01,TXN01057,Online Shopping,1061.42,,-4002.41
2026-01-02,TXN01058,Refund,,1424.68,-2577.73
2026-01-03,TXN01059,ATM Withdrawal,988.15,,-3565.88
2026-01-04,TXN01060,Restaurant,1161.5,,-4727.38
2026-01-05,TXN01061,Electricity Bill,1884.98,,-6612.36
2026-01-06,TXN01062,Mobile Recharge,995.6,,-7607.96
2026-01-07,TXN01063,Restaurant,858.13,,-8466.09
2026-01-08,TXN01064,ATM Withdrawal,1100.03,,-9566.12
2026-01-09,TXN01065,Money Transfer,1583.57,,-11149.69
2026-01-10,TXN01066,Restaurant,943.39,,-12093.08
2026-01-11,TXN01067,ATM Withdrawal,1618.91,,-13711.99
2026-01-12,TXN01068,Fuel,395.56,,-14107.55
2026-01-13,TXN01069,Money Transfer,402.53,,-14510.08
2026-01-14,TXN01070,Salary,,4092.98,-10417.1
2026-01-15,TXN01071,Grocery Store,113.3,,-10530.4
2026-01-16,TXN01072,Fuel,187.38,,-10717.78
2026-01-17,TXN01073,ATM Withdrawal,933.35,,-11651.13
2026-01-18,TXN01074,Grocery Store,536.64,,-12187.77
2026-01-19,TXN01075,Salary,,4087.79,-8099.98
2026-01-20,TXN01076,Online Shopping,721.62,,-8821.6
2026-01-21,TXN01077,Salary,,1253.62,-7567.98
2026-01-22,TXN01078,Grocery Store,1078.39,,-8646.37
2026-01-23,TXN01079,Online Shopping,1330.48,,-9976.85
2026-01-24,TXN01080,Fuel,1437.6,,-11414.45
2026-01-25,TXN01081,Insurance Payment,1420.12,,-12834.57
2026-01-26,TXN01082,Insurance Payment,973.85,,-13808.42
2026-01-27,TXN01083,ATM Withdrawal,658.41,,-14466.83
2026-01-28,TXN01084,Restaurant,870.79,,-15337.62
2026-01-01,TXN01085,Electricity Bill,553.92,,-15891.54
2026-01-02,TXN01086,Grocery Store,1804.65,,-17696.19
2026-01-03,TXN01087,Refund,,4895.32,-12800.87
2026-01-04,TXN01088,Money Transfer,891.73,,-13692.6
2026-01-05,TXN01089,ATM Withdrawal,489.48,,-14182.08
2026-01-06,TXN01090,Mobile Recharge,335.6,,-14517.68
2026-01-07,TXN01091,Subscription,1921.79,,-16439.47
2026-01-08,TXN01092,Insurance Payment,1423.98,,-17863.45
2026-01-09,TXN01093,Fuel,882.0,,-18745.45
