User Name: Ananya Iyer
Account Number: 111111002
Bank: XYZ Bank
Branch: Los Angeles
IFSC: BANK0000002

Date,Transaction ID,Description,Debit,Credit,Balance
2026-02-01,TXN02001,ATM Withdrawal,228.59,,18912.41
2026-02-02,TXN02002,Restaurant,1679.22,,17233.19
2026-02-03,TXN02003,Subscription,1627.48,,15605.71
2026-02-04,TXN02004,Grocery Store,540.59,,15065.12
2026-02-05,TXN02005,Electricity Bill,1233.26,,13831.86
2026-02-06,TXN02006,Money Transfer,1378.43,,12453.43
2026-02-07,TXN02007,Mobile Recharge,1295.02,,11158.41
2026-02-08,TXN02008,Subscription,1727.48,,9430.93
2026-02-09,TXN02009,Refund,,4772.28,14203.21
2026-02-10,TXN02010,Refund,,4710.7,18913.91
2026-02-11,TXN02011,Refund,,1707.08,20620.99
2026-02-12,TXN02012,ATM Withdrawal,1748.51,,18872.48
2026-02-13,TXN02013,Restaurant,956.54,,17915.94
2026-02-14,TXN02014,Restaurant,1820.11,,16095.83
2026-02-15,TXN02015,Mobile Recharge,1788.99,,14306.84
2026-02-16,TXN02016,Refund,,1240.2,15547.04
2026-02-17,TXN02017,Online Shopping,510.44,,15036.6
2026-02-18,TXN02018,ATM Withdrawal,394.6,,14642.0
2026-02-19,TXN02019,Online Shopping,316.56,,14325.44
2026-02-20,TXN02020,Refund,,2118.61,16444.05
2026-02-21,TXN02021,Refund,,3535.16,19979.21
2026-02-22,TXN02022,Online Shopping,1990.6,,17988.61
2026-02-23,TXN02023,Insurance Payment,1603.68,,16384.93
2026-02-24,TXN02024,Subscription,1074.46,,15310.47
2026-02-25,TXN02025,Restaurant,1590.01,,13720.46
2026-02-26,TXN02026,Restaurant,755.68,,12964.78
2026-02-27,TXN02027,Insurance Payment,364.31,,12600.47
2026-02-28,TXN02028,Mobile Recharge,1444.54,,11155.93
2026-02-01,TXN02029,Insurance Payment,1327.08,,9828.85
2026-02-02,TXN02030,Electricity Bill,1005.53,,8823.32
2026-02-03,TXN02031,Insurance Payment,1026.64,,7796.68
2026-02-04,TXN02032,Restaurant,1340.29,,6456.39
2026-02-05,TXN02033,Insurance Payment,1804.42,,4651.97
2026-02-06,TXN02034,Insurance Payment,734.01,,3917.96
2026-02-07,TXN02035,Subscription,1844.64,,2073.32
2026-02-08,TXN02036,Subscription,940.27,,1133.05
2026-02-09,TXN02037,Fuel,482.53,,650.52
2026-02-10,TXN02038,Restaurant,1638.63,,-988.11
2026-02-11,TXN02039,Online Shopping,1759.56,,-2747.67
2026-02-12,TXN02040,Money Transfer,572.87,,-3320.54
2026-02-13,TXN02041,Insurance Payment,653.65,,-3974.19
2026-02-14,TXN02042,Subscription,1670.58,,-5644.77
2026-02-15,TXN02043,Refund,,2829.86,-2814.91
2026-02-16,TXN02044,Fuel,1250.83,,-4065.74
2026-02-17,TXN02045,Mobile Recharge,658.1,,-4723.84
2026-02-18,TXN02046,Electricity Bill,1003.37,,-5727.21
2026-02-19,TXN02047,Restaurant,1871.6,,-7598.81
2026-02-20,TXN02048,Money Transfer,1770.04,,-9368.85
2026-02-21,TXN02049,Restaurant,1465.6,,-10834.45
2026-02-22,TXN02050,Electricity Bill,1994.28,,-12828.73
2026-02-23,TXN02051,Salary,,764.42,-12064.31
2026-02-24,TXN02052,Fuel,145.37,,-12209.68
2026-02-25,TXN02053,Money Transfer,491.9,,-12701.58
2026-02-26,TXN02054,Salary,,3894.66,-8806.92
2026-02-27,TXN02055,Online Shopping,1715.19,,-10522.11
2026-02-28,TXN02056,Electricity Bill,1658.26,,-12180.37
2026-02-01,TXN02057,ATM Withdrawal,874.69,,-13055.06
2026-02-02,TXN02058,Subscription,1530.85,,-14585.91
