User Name: Vivaan Patel
Account Number: 111111003
Bank: Global Bank
Branch: Chicago
IFSC: BANK0000003

Date,Transaction ID,Description,Debit,Credit,Balance
2026-03-01,TXN03001,Money Transfer,1111.25,,7786.75
2026-03-02,TXN03002,Restaurant,1836.09,,5950.66
2026-03-03,TXN03003,Insurance Payment,1270.15,,4680.51
2026-03-04,TXN03004,Salary,,3225.2,7905.71
2026-03-05,TXN03005,Insurance Payment,555.74,,7349.97
2026-03-06,TXN03006,Electricity Bill,423.9,,6926.07
2026-03-07,TXN03007,Subscription,967.01,,5959.06
2026-03-08,TXN03008,Refund,,2643.59,8602.65
2026-03-09,TXN03009,Fuel,1728.99,,6873.66
2026-03-10,TXN03010,Electricity Bill,1287.98,,5585.68
2026-03-11,TXN03011,Refund,,2254.72,7840.4
2026-03-12,TXN03012,ATM Withdrawal,1359.25,,6481.15
2026-03-13,TXN03013,Salary,,1217.3,7698.45
2026-03-14,TXN03014,Money Transfer,133.44,,7565.01
2026-03-15,TXN03015,ATM Withdrawal,1655.96,,5909.05
2026-03-16,TXN03016,Grocery Store,971.86,,4937.19
2026-03-17,TXN03017,Subscription,1844.31,,3092.88
2026-03-18,TXN03018,Mobile Recharge,1442.55,,1650.33
2026-03-19,TXN03019,Mobile Recharge,820.18,,830.15
2026-03-20,TXN03020,Money Transfer,917.01,,-86.86
2026-03-21,TXN03021,Online Shopping,1763.79,,-1850.65
2026-03-22,TXN03022,Salary,,661.49,-1189.16
2026-03-23,TXN03023,Insurance Payment,473.12,,-1662.28
2026-03-24,TXN03024,Fuel,900.52,,-2562.8
2026-03-25,TXN03025,Fuel,1717.69,,-4280.49
2026-03-26,TXN03026,Mobile Recharge,1039.12,,-5319.61
2026-03-27,TXN03027,Mobile Recharge,1169.34,,-6488.95
2026-03-28,TXN03028,Refund,,3132.83,-3356.12
2026-03-01,TXN03029,Money Transfer,503.15,,-3859.27
2026-03-02,TXN03030,Restaurant,1379.87,,-5239.14
2026-03-03,TXN03031,ATM Withdrawal,1719.98,,-6959.12
2026-03-04,TXN03032,Money Transfer,1358.98,,-8318.1
2026-03-05,TXN03033,Online Shopping,1412.3,,-9730.4
2026-03-06,TXN03034,Restaurant,1931.03,,-11661.43
2026-03-07,TXN03035,Money Transfer,1159.76,,-12821.19
2026-03-08,TXN03036,Subscription,1328.25,,-14149.44
2026-03-09,TXN03037,Fuel,1671.64,,-15821.08
2026-03-10,TXN03038,Money Transfer,570.82,,-16391.9
2026-03-11,TXN03039,Salary,,785.57,-15606.33
2026-03-12,TXN03040,Fuel,1980.12,,-17586.45
2026-03-13,TXN03041,Salary,,2048.36,-15538.09
2026-03-14,TXN03042,Salary,,2347.08,-13191.01
2026-03-15,TXN03043,Online Shopping,89.24,,-13280.25
2026-03-16,TXN03044,Mobile Recharge,1549.14,,-14829.39
2026-03-17,TXN03045,Salary,,698.86,-14130.53
2026-03-18,TXN03046,Money Transfer,1535.19,,-15665.72
2026-03-19,TXN03047,Mobile Recharge,1450.96,,-17116.68
2026-03-20,TXN03048,Restaurant,1124.16,,-18240.84
2026-03-21,TXN03049,Grocery Store,1035.57,,-19276.41
2026-03-22,TXN03050,ATM Withdrawal,653.86,,-19930.27
2026-03-23,TXN03051,Salary,,986.54,-18943.73
2026-03-24,TXN03052,Refund,,641.2,-18302.53
2026-03-25,TXN03053,Electricity Bill,1944.29,,-20246.82
2026-03-26,TXN03054,Grocery Store,1240.41,,-21487.23
2026-03-27,TXN03055,Online Shopping,1394.98,,-22882.21
2026-03-28,TXN03056,Restaurant,661.97,,-23544.18
2026-03-01,TXN03057,Online Shopping,1798.49,,-25342.67
2026-03-02,TXN03058,Mobile Recharge,784.66,,-26127.33
2026-03-03,TXN03059,Refund,,2237.87,-23889.46
2026-03-04,TXN03060,Money Transfer,1377.89,,-25267.35
2026-03-05,TXN03061,Salary,,3290.57,-21976.78
2026-03-06,TXN03062,Refund,,1720.85,-20255.93
2026-03-07,TXN03063,Fuel,1454.61,,-21710.54
2026-03-08,TXN03064,Electricity Bill,1876.05,,-23586.59
2026-03-09,TXN03065,Mobile Recharge,1956.7,,-25543.29
2026-03-10,TXN03066,Refund,,1863.47,-23679.82
2026-03-11,TXN03067,Restaurant,72.34,,-23752.16
2026-03-12,TXN03068,Mobile Recharge,1975.54,,-25727.7
2026-03-13,TXN03069,Restaurant,89.1,,-25816.8
2026-03-14,TXN03070,Money Transfer,1198.95,,-27015.75
2026-03-15,TXN03071,Online Shopping,167.16,,-27182.91
2026-03-16,TXN03072,Fuel,698.28,,-27881.19
2026-03-17,TXN03073,Restaurant,1374.6,,-29255.79
2026-03-18,TXN03074,Restaurant,1237.28,,-30493.07
2026-03-19,TXN03075,Grocery Store,1489.17,,-31982.24
2026-03-20,TXN03076,ATM Withdrawal,1199.29,,-33181.53
2026-03-21,TXN03077,Fuel,91.44,,-33272.97
2026-03-22,TXN03078,Restaurant,539.69,,-33812.66
2026-03-23,TXN03079,Insurance Payment,632.34,,-34445.0
2026-03-24,TXN03080,Money Transfer,674.05,,-35119.05
2026-03-25,TXN03081,Restaurant,411.23,,-35530.28
2026-03-26,TXN03082,Restaurant,1695.49,,-37225.77
2026-03-27,TXN03083,Grocery Store,635.79,,-37861.56
2026-03-28,TXN03084,Mobile Recharge,254.5,,-38116.06
2026-03-01,TXN03085,ATM Withdrawal,1944.18,,-40060.24
2026-03-02,TXN03086,Fuel,1483.59,,-41543.83
2026-03-03,TXN03087,Grocery Store,1025.02,,-42568.85
2026-03-04,TXN03088,Fuel,1617.42,,-44186.27
2026-03-05,TXN03089,Electricity Bill,689.18,,-44875.45
2026-03-06,TXN03090,Fuel,898.71,,-45774.16
2026-03-07,TXN03091,Subscription,239.19,,-46013.35
2026-03-08,TXN03092,Money Transfer,677.83,,-46691.18
2026-03-09,TXN03093,Restaurant,1366.11,,-48057.29
2026-03-10,TXN03094,Electricity Bill,904.94,,-48962.23
2026-03-11,TXN03095,Online Shopping,205.9,,-49168.13
2026-03-12,TXN03096,Subscription,1317.95,,-50486.08
2026-03-13,TXN03097,Money Transfer,929.65,,-51415.73
2026-03-14,TXN03098,Electricity Bill,1584.66,,-53000.39
2026-03-15,TXN03099,ATM Withdrawal,1082.77,,-54083.16
2026-03-16,TXN03100,Electricity Bill,664.52,,-54747.68
