User Name: Diya Reddy
Account Number: 111111004
Bank: Metro Bank
Branch: Houston
IFSC: BANK0000004

Date,Transaction ID,Description,Debit,Credit,Balance
2026-04-01,TXN04001,Grocery Store,251.17,,8615.83
2026-04-02,TXN04002,Mobile Recharge,983.81,,7632.02
2026-04-03,TXN04003,Salary,,799.32,8431.34
2026-04-04,TXN04004,Mobile Recharge,1121.33,,7310.01
2026-04-05,TXN04005,Grocery Store,1610.88,,5699.13
2026-04-06,TXN04006,ATM Withdrawal,482.76,,5216.37
2026-04-07,TXN04007,Refund,,2121.1,7337.47
2026-04-08,TXN04008,Online Shopping,1662.4,,5675.07
2026-04-09,TXN04009,Grocery Store,468.08,,5206.99
2026-04-10,TXN04010,ATM Withdrawal,1666.39,,3540.6
2026-04-11,TXN04011,Grocery Store,1610.87,,1929.73
2026-04-12,TXN04012,Electricity Bill,371.4,,1558.33
2026-04-13,TXN04013,Grocery Store,1272.6,,285.73
2026-04-14,TXN04014,Subscription,1923.8,,-1638.07
2026-04-15,TXN04015,Restaurant,219.1,,-1857.17
2026-04-16,TXN04016,Money Transfer,707.93,,-2565.1
2026-04-17,TXN04017,Mobile Recharge,1036.61,,-3601.71
2026-04-18,TXN04018,Online Shopping,532.28,,-4133.99
2026-04-19,TXN04019,Grocery Store,224.23,,-4358.22
2026-04-20,TXN04020,Refund,,4282.08,-76.14
2026-04-21,TXN04021,ATM Withdrawal,1822.3,,-1898.44
2026-04-22,TXN04022,Money Transfer,1424.57,,-3323.01
2026-04-23,TXN04023,Grocery Store,1703.69,,-5026.7
2026-04-24,TXN04024,Refund,,1378.06,-3648.64
2026-04-25,TXN04025,Mobile Recharge,1217.88,,-4866.52
2026-04-26,TXN04026,Mobile Recharge,930.18,,-5796.7
2026-04-27,TXN04027,Electricity Bill,644.97,,-6441.67
2026-04-28,TXN04028,ATM Withdrawal,208.1,,-6649.77
2026-04-01,TXN04029,Insurance Payment,1271.38,,-7921.15
2026-04-02,TXN04030,Grocery Store,1061.8,,-8982.95
2026-04-03,TXN04031,Fuel,968.92,,-9951.87
2026-04-04,TXN04032,Restaurant,332.87,,-10284.74
2026-04-05,TXN04033,Fuel,431.37,,-10716.11
2026-04-06,TXN04034,Mobile Recharge,1831.39,,-12547.5
2026-04-07,TXN04035,Fuel,1283.7,,-13831.2
2026-04-08,TXN04036,Grocery Store,408.22,,-14239.42
2026-04-09,TXN04037,Mobile Recharge,1506.54,,-15745.96
2026-04-10,TXN04038,Restaurant,1287.14,,-17033.1
2026-04-11,TXN04039,Electricity Bill,1813.41,,-18846.51
2026-04-12,TXN04040,Salary,,4277.42,-14569.09
2026-04-13,TXN04041,Subscription,496.3,,-15065.39
2026-04-14,TXN04042,Money Transfer,1250.09,,-16315.48
2026-04-15,TXN04043,Electricity Bill,288.18,,-16603.66
2026-04-16,TXN04044,Online Shopping,617.3,,-17220.96
2026-04-17,TXN04045,ATM Withdrawal,133.48,,-17354.44
2026-04-18,TXN04046,Subscription,211.09,,-17565.53
2026-04-19,TXN04047,Grocery Store,1483.01,,-19048.54
2026-04-20,TXN04048,Restaurant,85.47,,-19134.01
2026-04-21,TXN04049,Grocery Store,677.27,,-19811.28
2026-04-22,TXN04050,Online Shopping,1561.72,,-21373.0
2026-04-23,TXN04051,Mobile Recharge,1729.68,,-23102.68
2026-04-24,TXN04052,Money Transfer,1376.09,,-24478.77
2026-04-25,TXN04053,Salary,,1820.35,-22658.42
2026-04-26,TXN04054,Electricity Bill,1793.46,,-24451.88
2026-04-27,TXN04055,Grocery Store,316.05,,-24767.93
2026-04-28,TXN04056,Mobile Recharge,1217.68,,-25985.61
