User Name: Advik Singh
Account Number: 111111005
Bank: National Bank
Branch: Phoenix
IFSC: BANK0000005

Date,Transaction ID,Description,Debit,Credit,Balance
2026-05-01,TXN05001,Grocery Store,1496.48,,13708.52
2026-05-02,TXN05002,Subscription,1887.78,,11820.74
2026-05-03,TXN05003,Subscription,1321.46,,10499.28
2026-05-04,TXN05004,Refund,,630.52,11129.8
2026-05-05,TXN05005,Insurance Payment,1563.12,,9566.68
2026-05-06,TXN05006,Electricity Bill,1315.5,,8251.18
2026-05-07,TXN05007,Online Shopping,270.75,,7980.43
2026-05-08,TXN05008,Insurance Payment,1743.47,,6236.96
2026-05-09,TXN05009,Mobile Recharge,1110.33,,5126.63
2026-05-10,TXN05010,Money Transfer,536.19,,4590.44
2026-05-11,TXN05011,Subscription,472.62,,4117.82
2026-05-12,TXN05012,Grocery Store,405.05,,3712.77
2026-05-13,TXN05013,Mobile Recharge,361.23,,3351.54
2026-05-14,TXN05014,Salary,,1124.45,4475.99
2026-05-15,TXN05015,Money Transfer,917.43,,3558.56
2026-05-16,TXN05016,Online Shopping,53.46,,3505.1
2026-05-17,TXN05017,ATM Withdrawal,458.44,,3046.66
2026-05-18,TXN05018,Electricity Bill,1922.25,,1124.41
2026-05-19,TXN05019,Online Shopping,1751.2,,-626.79
2026-05-20,TXN05020,Grocery Store,661.62,,-1288.41
2026-05-21,TXN05021,Electricity Bill,1101.49,,-2389.9
2026-05-22,TXN05022,Fuel,1270.17,,-3660.07
2026-05-23,TXN05023,Online Shopping,1884.9,,-5544.97
2026-05-24,TXN05024,Subscription,433.91,,-5978.88
2026-05-25,TXN05025,Mobile Recharge,632.64,,-6611.52
2026-05-26,TXN05026,Restaurant,859.07,,-7470.59
2026-05-27,TXN05027,Online Shopping,564.43,,-8035.02
2026-05-28,TXN05028,Restaurant,637.65,,-8672.67
2026-05-01,TXN05029,Money Transfer,1192.98,,-9865.65
2026-05-02,TXN05030,Money Transfer,1371.97,,-11237.62
2026-05-03,TXN05031,Restaurant,178.74,,-11416.36
2026-05-04,TXN05032,Restaurant,1646.11,,-13062.47
2026-05-05,TXN05033,Insurance Payment,1408.02,,-14470.49
2026-05-06,TXN05034,Online Shopping,988.38,,-15458.87
2026-05-07,TXN05035,Subscription,393.43,,-15852.3
2026-05-08,TXN05036,Grocery Store,1951.44,,-17803.74
2026-05-09,TXN05037,ATM Withdrawal,1900.98,,-19704.72
2026-05-10,TXN05038,Restaurant,1697.52,,-21402.24
2026-05-11,TXN05039,ATM Withdrawal,1120.68,,-22522.92
2026-05-12,TXN05040,Mobile Recharge,764.06,,-23286.98
2026-05-13,TXN05041,Money Transfer,1690.41,,-24977.39
2026-05-14,TXN05042,Insurance Payment,141.12,,-25118.51
2026-05-15,TXN05043,Online Shopping,1266.24,,-26384.75
2026-05-16,TXN05044,Electricity Bill,282.09,,-26666.84
2026-05-17,TXN05045,Electricity Bill,1862.83,,-28529.67
2026-05-18,TXN05046,Insurance Payment,721.54,,-29251.21
2026-05-19,TXN05047,Restaurant,1790.79,,-31042.0
2026-05-20,TXN05048,Grocery Store,1562.43,,-32604.43
2026-05-21,TXN05049,Salary,,3153.94,-29450.49
2026-05-22,TXN05050,Restaurant,1726.4,,-31176.89
2026-05-23,TXN05051,ATM Withdrawal,894.3,,-32071.19
2026-05-24,TXN05052,Salary,,1438.18,-30633.01
2026-05-25,TXN05053,Refund,,3248.72,-27384.29
2026-05-26,TXN05054,Online Shopping,712.92,,-28097.21
2026-05-27,TXN05055,Subscription,1113.03,,-29210.24
2026-05-28,TXN05056,Grocery Store,1387.63,,-30597.87
2026-05-01,TXN05057,Grocery Store,396.08,,-30993.95
2026-05-02,TXN05058,Salary,,3320.63,-27673.32
2026-05-03,TXN05059,Subscription,1393.89,,-29067.21
2026-05-04,TXN05060,Insurance Payment,364.98,,-29432.19
2026-05-05,TXN05061,ATM Withdrawal,207.87,,-29640.06
2026-05-06,TXN05062,Money Transfer,1090.38,,-30730.44
2026-05-07,TXN05063,Mobile Recharge,112.06,,-30842.5
2026-05-08,TXN05064,Subscription,1208.22,,-32050.72
2026-05-09,TXN05065,Grocery Store,938.55,,-32989.27
2026-05-10,TXN05066,Mobile Recharge,333.98,,-33323.25
2026-05-11,TXN05067,Fuel,113.81,,-33437.06
2026-05-12,TXN05068,Insurance Payment,701.66,,-34138.72
2026-05-13,TXN05069,Electricity Bill,304.62,,-34443.34
2026-05-14,TXN05070,Subscription,1149.89,,-35593.23
2026-05-15,TXN05071,Online Shopping,1279.28,,-36872.51
2026-05-16,TXN05072,Mobile Recharge,257.93,,-37130.44
2026-05-17,TXN05073,Mobile Recharge,777.35,,-37907.79
2026-05-18,TXN05074,ATM Withdrawal,1697.23,,-39605.02
2026-05-19,TXN05075,Grocery Store,325.34,,-39930.36
2026-05-20,TXN05076,Money Transfer,1711.89,,-41642.25
2026-05-21,TXN05077,Refund,,2540.93,-39101.32
2026-05-22,TXN05078,Insurance Payment,1393.24,,-40494.56
2026-05-23,TXN05079,Restaurant,984.13,,-41478.69
2026-05-24,TXN05080,Grocery Store,966.66,,-42445.35
2026-05-25,TXN05081,Online Shopping,269.49,,-42714.84
2026-05-26,TXN05082,Refund,,4819.17,-37895.67
2026-05-27,TXN05083,Fuel,1877.43,,-39773.1
2026-05-28,TXN05084,Restaurant,401.23,,-40174.33
2026-05-01,TXN05085,Insurance Payment,581.0,,-40755.33
2026-05-02,TXN05086,Refund,,4403.24,-36352.09
2026-05-03,TXN05087,Restaurant,173.06,,-36525.15
2026-05-04,TXN05088,Restaurant,1404.46,,-37929.61
2026-05-05,TXN05089,Fuel,116.92,,-38046.53
2026-05-06,TXN05090,Grocery Store,758.69,,-38805.22
2026-05-07,TXN05091,Subscription,1353.2,,-40158.42
2026-05-08,TXN05092,Insurance Payment,566.47,,-40724.89
2026-05-09,TXN05093,Subscription,1446.17,,-42171.06
2026-05-10,TXN05094,Restaurant,1316.9,,-43487.96
2026-05-11,TXN05095,Money Transfer,1711.05,,-45199.01
2026-05-12,TXN05096,Insurance Payment,1116.63,,-46315.64
2026-05-13,TXN05097,Grocery Store,685.51,,-47001.15
2026-05-14,TXN05098,Grocery Store,952.73,,-47953.88
2026-05-15,TXN05099,Refund,,3413.47,-44540.41
2026-05-16,TXN05100,Restaurant,728.37,,-45268.78
