User Name: Myra Nair
Account Number: 111111006
Bank: United Bank
Branch: Seattle
IFSC: BANK0000006

Date,Transaction ID,Description,Debit,Credit,Balance
2026-06-01,TXN06001,Money Transfer,1652.81,,16345.19
2026-06-02,TXN06002,Insurance Payment,1536.32,,14808.87
2026-06-03,TXN06003,ATM Withdrawal,50.88,,14757.99
2026-06-04,TXN06004,Fuel,1193.64,,13564.35
2026-06-05,TXN06005,Subscription,777.66,,12786.69
2026-06-06,TXN06006,ATM Withdrawal,581.76,,12204.93
2026-06-07,TXN06007,Electricity Bill,1473.16,,10731.77
2026-06-08,TXN06008,Mobile Recharge,1825.62,,8906.15
2026-06-09,TXN06009,Refund,,3569.23,12475.38
2026-06-10,TXN06010,Electricity Bill,1148.67,,11326.71
2026-06-11,TXN06011,Subscription,1619.99,,9706.72
2026-06-12,TXN06012,Grocery Store,1342.66,,8364.06
2026-06-13,TXN06013,Money Transfer,1387.1,,6976.96
2026-06-14,TXN06014,Mobile Recharge,704.38,,6272.58
2026-06-15,TXN06015,Salary,,2129.63,8402.21
2026-06-16,TXN06016,Mobile Recharge,1619.32,,6782.89
2026-06-17,TXN06017,Insurance Payment,1414.26,,5368.63
2026-06-18,TXN06018,Electricity Bill,1416.46,,3952.17
2026-06-19,TXN06019,Grocery Store,240.22,,3711.95
2026-06-20,TXN06020,ATM Withdrawal,1197.71,,2514.24
2026-06-21,TXN06021,Electricity Bill,1664.41,,849.83
2026-06-22,TXN06022,Restaurant,999.07,,-149.24
2026-06-23,TXN06023,Electricity Bill,1053.57,,-1202.81
2026-06-24,TXN06024,Fuel,1941.56,,-3144.37
2026-06-25,TXN06025,Refund,,4893.69,1749.32
2026-06-26,TXN06026,ATM Withdrawal,1285.28,,464.04
2026-06-27,TXN06027,Electricity Bill,1223.41,,-759.37
2026-06-28,TXN06028,Grocery Store,746.89,,-1506.26
2026-06-01,TXN06029,Salary,,903.59,-602.67
2026-06-02,TXN06030,Fuel,1074.26,,-1676.93
2026-06-03,TXN06031,Salary,,3236.94,1560.01
2026-06-04,TXN06032,Grocery Store,658.95,,901.06
2026-06-05,TXN06033,Electricity Bill,790.62,,110.44
2026-06-06,TXN06034,Electricity Bill,319.31,,-208.87
2026-06-07,TXN06035,Electricity Bill,1676.31,,-1885.18
2026-06-08,TXN06036,Subscription,1068.17,,-2953.35
2026-06-09,TXN06037,Electricity Bill,1567.21,,-4520.56
2026-06-10,TXN06038,ATM Withdrawal,1313.58,,-5834.14
2026-06-11,TXN06039,Refund,,4569.97,-1264.17
2026-06-12,TXN06040,Money Transfer,1256.31,,-2520.48
2026-06-13,TXN06041,Restaurant,785.94,,-3306.42
2026-06-14,TXN06042,Mobile Recharge,613.84,,-3920.26
2026-06-15,TXN06043,Fuel,1999.76,,-5920.02
2026-06-16,TXN06044,ATM Withdrawal,411.43,,-6331.45
2026-06-17,TXN06045,Money Transfer,1505.31,,-7836.76
2026-06-18,TXN06046,Mobile Recharge,237.16,,-8073.92
2026-06-19,TXN06047,Insurance Payment,528.36,,-8602.28
2026-06-20,TXN06048,Salary,,4515.16,-4087.12
2026-06-21,TXN06049,Fuel,1747.43,,-5834.55
2026-06-22,TXN06050,Insurance Payment,922.03,,-6756.58
2026-06-23,TXN06051,Mobile Recharge,1602.39,,-8358.97
2026-06-24,TXN06052,Refund,,2418.89,-5940.08
2026-06-25,TXN06053,Grocery Store,1426.06,,-7366.14
2026-06-26,TXN06054,Mobile Recharge,1884.41,,-9250.55
2026-06-27,TXN06055,Electricity Bill,1505.71,,-10756.26
2026-06-28,TXN06056,Grocery Store,930.15,,-11686.41
2026-06-01,TXN06057,Subscription,1578.86,,-13265.27
2026-06-02,TXN06058,Online Shopping,86.15,,-13351.42
2026-06-03,TXN06059,Refund,,1055.73,-12295.69
2026-06-04,TXN06060,Money Transfer,1613.47,,-13909.16
