User Name: Arjun Mehta
Account Number: 111111007
Bank: Capital Bank
Branch: Boston
IFSC: BANK0000007

Date,Transaction ID,Description,Debit,Credit,Balance
2026-07-01,TXN07001,Online Shopping,819.91,,9485.09
2026-07-02,TXN07002,ATM Withdrawal,191.25,,9293.84
2026-07-03,TXN07003,Refund,,923.59,10217.43
2026-07-04,TXN07004,Money Transfer,163.1,,10054.33
2026-07-05,TXN07005,Refund,,1466.14,11520.47
2026-07-06,TXN07006,Salary,,2451.41,13971.88
2026-07-07,TXN07007,Salary,,1582.98,15554.86
2026-07-08,TXN07008,Refund,,2410.34,17965.2
2026-07-09,TXN07009,Money Transfer,291.41,,17673.79
2026-07-10,TXN07010,Electricity Bill,1279.72,,16394.07
2026-07-11,TXN07011,Money Transfer,1898.03,,14496.04
2026-07-12,TXN07012,Money Transfer,1191.81,,13304.23
2026-07-13,TXN07013,ATM Withdrawal,1953.7,,11350.53
2026-07-14,TXN07014,ATM Withdrawal,1135.5,,10215.03
2026-07-15,TXN07015,Online Shopping,614.74,,9600.29
2026-07-16,TXN07016,Online Shopping,1104.34,,8495.95
2026-07-17,TXN07017,Money Transfer,651.54,,7844.41
2026-07-18,TXN07018,Fuel,402.42,,7441.99
2026-07-19,TXN07019,Money Transfer,1163.85,,6278.14
2026-07-20,TXN07020,Electricity Bill,776.18,,5501.96
2026-07-21,TXN07021,Refund,,3704.5,9206.46
2026-07-22,TXN07022,Money Transfer,166.22,,9040.24
2026-07-23,TXN07023,Electricity Bill,1018.01,,8022.23
2026-07-24,TXN07024,Refund,,2424.17,10446.4
2026-07-25,TXN07025,Restaurant,957.92,,9488.48
2026-07-26,TXN07026,Insurance Payment,755.09,,8733.39
2026-07-27,TXN07027,Electricity Bill,1599.04,,7134.35
2026-07-28,TXN07028,Subscription,1570.67,,5563.68
2026-07-01,TXN07029,Salary,,3084.91,8648.59
2026-07-02,TXN07030,Refund,,2728.02,11376.61
2026-07-03,TXN07031,Restaurant,1472.42,,9904.19
2026-07-04,TXN07032,Grocery Store,1237.47,,8666.72
2026-07-05,TXN07033,Salary,,1031.3,9698.02
2026-07-06,TXN07034,Mobile Recharge,371.68,,9326.34
2026-07-07,TXN07035,Restaurant,346.37,,8979.97
2026-07-08,TXN07036,Insurance Payment,872.31,,8107.66
2026-07-09,TXN07037,Fuel,201.36,,7906.3
2026-07-10,TXN07038,Refund,,3078.62,10984.92
2026-07-11,TXN07039,Restaurant,713.24,,10271.68
2026-07-12,TXN07040,Restaurant,1209.02,,9062.66
2026-07-13,TXN07041,Money Transfer,1603.94,,7458.72
2026-07-14,TXN07042,Salary,,4279.86,11738.58
2026-07-15,TXN07043,Grocery Store,974.49,,10764.09
2026-07-16,TXN07044,Fuel,176.75,,10587.34
2026-07-17,TXN07045,Subscription,1417.91,,9169.43
2026-07-18,TXN07046,Fuel,1177.0,,7992.43
2026-07-19,TXN07047,Fuel,1652.75,,6339.68
2026-07-20,TXN07048,Grocery Store,1447.42,,4892.26
2026-07-21,TXN07049,Fuel,726.66,,4165.6
2026-07-22,TXN07050,Insurance Payment,743.16,,3422.44
2026-07-23,TXN07051,Money Transfer,278.34,,3144.1
2026-07-24,TXN07052,ATM Withdrawal,475.51,,2668.59
2026-07-25,TXN07053,Grocery Store,302.21,,2366.38
2026-07-26,TXN07054,Electricity Bill,825.9,,1540.48
2026-07-27,TXN07055,Insurance Payment,207.13,,1333.35
2026-07-28,TXN07056,Insurance Payment,833.21,,500.14
2026-07-01,TXN07057,Grocery Store,1772.6,,-1272.46
2026-07-02,TXN07058,Mobile Recharge,1734.77,,-3007.23
2026-07-03,TXN07059,Grocery Store,1427.47,,-4434.7
2026-07-04,TXN07060,Restaurant,1381.31,,-5816.01
2026-07-05,TXN07061,Mobile Recharge,1917.58,,-7733.59
2026-07-06,TXN07062,Online Shopping,211.82,,-7945.41
2026-07-07,TXN07063,Online Shopping,502.32,,-8447.73
2026-07-08,TXN07064,Electricity Bill,73.52,,-8521.25
2026-07-09,TXN07065,Money Transfer,405.57,,-8926.82
2026-07-10,TXN07066,Grocery Store,57.98,,-8984.8
2026-07-11,TXN07067,Mobile Recharge,1092.45,,-10077.25
2026-07-12,TXN07068,Money Transfer,1154.37,,-11231.62
2026-07-13,TXN07069,Online Shopping,1396.46,,-12628.08
2026-07-14,TXN07070,Refund,,4776.01,-7852.07
2026-07-15,TXN07071,Fuel,1368.59,,-9220.66
2026-07-16,TXN07072,ATM Withdrawal,940.46,,-10161.12
2026-07-17,TXN07073,Fuel,1605.85,,-11766.97
2026-07-18,TXN07074,Mobile Recharge,826.24,,-12593.21
2026-07-19,TXN07075,Mobile Recharge,251.9,,-12845.11
2026-07-20,TXN07076,Fuel,830.86,,-13675.97
2026-07-21,TXN07077,Electricity Bill,181.33,,-13857.3
2026-07-22,TXN07078,Electricity Bill,909.22,,-14766.52
2026-07-23,TXN07079,Salary,,2030.24,-12736.28
2026-07-24,TXN07080,ATM Withdrawal,249.64,,-12985.92
