User Name: Sara Khan
Account Number: 111111008
Bank: Trust Bank
Branch: Austin
IFSC: BANK0000008

Date,Transaction ID,Description,Debit,Credit,Balance
2026-08-01,TXN08001,Restaurant,1926.48,,6787.52
2026-08-02,TXN08002,Online Shopping,426.58,,6360.94
2026-08-03,TXN08003,ATM Withdrawal,216.11,,6144.83
2026-08-04,TXN08004,Electricity Bill,1631.96,,4512.87
2026-08-05,TXN08005,Refund,,1442.29,5955.16
2026-08-06,TXN08006,Fuel,109.07,,5846.09
2026-08-07,TXN08007,Insurance Payment,933.61,,4912.48
2026-08-08,TXN08008,Insurance Payment,1167.59,,3744.89
2026-08-09,TXN08009,Mobile Recharge,224.65,,3520.24
2026-08-10,TXN08010,Electricity Bill,1530.1,,1990.14
2026-08-11,TXN08011,Subscription,570.2,,1419.94
2026-08-12,TXN08012,Mobile Recharge,974.93,,445.01
2026-08-13,TXN08013,Mobile Recharge,1465.7,,-1020.69
2026-08-14,TXN08014,Fuel,553.8,,-1574.49
2026-08-15,TXN08015,Salary,,2238.66,664.17
2026-08-16,TXN08016,Mobile Recharge,260.07,,404.1
2026-08-17,TXN08017,ATM Withdrawal,709.96,,-305.86
2026-08-18,TXN08018,Subscription,217.81,,-523.67
2026-08-19,TXN08019,Fuel,1057.78,,-1581.45
2026-08-20,TXN08020,Electricity Bill,1184.0,,-2765.45
2026-08-21,TXN08021,Online Shopping,1233.1,,-3998.55
2026-08-22,TXN08022,Refund,,4757.23,758.68
2026-08-23,TXN08023,Insurance Payment,1418.55,,-659.87
2026-08-24,TXN08024,Online Shopping,1894.79,,-2554.66
2026-08-25,TXN08025,Money Transfer,939.71,,-3494.37
2026-08-26,TXN08026,Money Transfer,1767.87,,-5262.24
2026-08-27,TXN08027,Grocery Store,1136.77,,-6399.01
2026-08-28,TXN08028,Mobile Recharge,313.2,,-6712.21
2026-08-01,TXN08029,Money Transfer,240.35,,-6952.56
2026-08-02,TXN08030,Subscription,661.88,,-7614.44
2026-08-03,TXN08031,Restaurant,1902.5,,-9516.94
2026-08-04,TXN08032,Insurance Payment,1032.06,,-10549.0
2026-08-05,TXN08033,Electricity Bill,652.14,,-11201.14
2026-08-06,TXN08034,Restaurant,1081.0,,-12282.14
2026-08-07,TXN08035,Refund,,3456.75,-8825.39
2026-08-08,TXN08036,Refund,,4608.79,-4216.6
2026-08-09,TXN08037,Refund,,1489.8,-2726.8
