User Name: Kabir Das
Account Number: 111111009
Bank: City Bank
Branch: Denver
IFSC: BANK0000009

Date,Transaction ID,Description,Debit,Credit,Balance
2026-09-01,TXN09001,Money Transfer,777.96,,11807.04
2026-09-02,TXN09002,Online Shopping,412.98,,11394.06
2026-09-03,TXN09003,Fuel,62.55,,11331.51
2026-09-04,TXN09004,Refund,,2586.75,13918.26
2026-09-05,TXN09005,Money Transfer,207.59,,13710.67
2026-09-06,TXN09006,Refund,,4713.74,18424.41
2026-09-07,TXN09007,Subscription,129.75,,18294.66
2026-09-08,TXN09008,Mobile Recharge,380.36,,17914.3
2026-09-09,TXN09009,Insurance Payment,1904.98,,16009.32
2026-09-10,TXN09010,Mobile Recharge,356.46,,15652.86
2026-09-11,TXN09011,Electricity Bill,150.1,,15502.76
2026-09-12,TXN09012,Online Shopping,1037.22,,14465.54
2026-09-13,TXN09013,Money Transfer,173.49,,14292.05
2026-09-14,TXN09014,Subscription,798.15,,13493.9
2026-09-15,TXN09015,Subscription,1780.16,,11713.74
2026-09-16,TXN09016,Grocery Store,449.67,,11264.07
2026-09-17,TXN09017,Electricity Bill,1465.13,,9798.94
2026-09-18,TXN09018,Mobile Recharge,1784.67,,8014.27
2026-09-19,TXN09019,Grocery Store,1827.19,,6187.08
2026-09-20,TXN09020,Mobile Recharge,598.31,,5588.77
2026-09-21,TXN09021,ATM Withdrawal,438.99,,5149.78
2026-09-22,TXN09022,ATM Withdrawal,1764.78,,3385.0
2026-09-23,TXN09023,ATM Withdrawal,1796.83,,1588.17
2026-09-24,TXN09024,Insurance Payment,321.33,,1266.84
2026-09-25,TXN09025,Electricity Bill,878.21,,388.63
2026-09-26,TXN09026,Salary,,4838.06,5226.69
2026-09-27,TXN09027,ATM Withdrawal,286.4,,4940.29
2026-09-28,TXN09028,Money Transfer,435.46,,4504.83
2026-09-01,TXN09029,Electricity Bill,693.92,,3810.91
2026-09-02,TXN09030,Salary,,1099.33,4910.24
2026-09-03,TXN09031,ATM Withdrawal,1026.57,,3883.67
2026-09-04,TXN09032,Money Transfer,1018.65,,2865.02
2026-09-05,TXN09033,Electricity Bill,869.21,,1995.81
2026-09-06,TXN09034,Mobile Recharge,424.72,,1571.09
2026-09-07,TXN09035,Salary,,3653.81,5224.9
2026-09-08,TXN09036,Online Shopping,386.48,,4838.42
2026-09-09,TXN09037,Money Transfer,1453.29,,3385.13
2026-09-10,TXN09038,ATM Withdrawal,155.64,,3229.49
2026-09-11,TXN09039,Refund,,3574.51,6804.0
2026-09-12,TXN09040,Online Shopping,1503.04,,5300.96
2026-09-13,TXN09041,Subscription,1990.02,,3310.94
