User Name: Ishita Rao
Account Number: 111111010
Bank: First Bank
Branch: Miami
IFSC: BANK0000010

Date,Transaction ID,Description,Debit,Credit,Balance
2026-10-01,TXN10001,ATM Withdrawal,886.33,,13474.67
2026-10-02,TXN10002,Money Transfer,78.92,,13395.75
2026-10-03,TXN10003,Insurance Payment,1635.98,,11759.77
2026-10-04,TXN10004,Grocery Store,1324.27,,10435.5
2026-10-05,TXN10005,Online Shopping,117.09,,10318.41
2026-10-06,TXN10006,Insurance Payment,689.16,,9629.25
2026-10-07,TXN10007,Electricity Bill,1907.18,,7722.07
2026-10-08,TXN10008,Subscription,1993.29,,5728.78
2026-10-09,TXN10009,ATM Withdrawal,869.77,,4859.01
2026-10-10,TXN10010,Online Shopping,1226.22,,3632.79
2026-10-11,TXN10011,Mobile Recharge,871.46,,2761.33
2026-10-12,TXN10012,Fuel,561.53,,2199.8
2026-10-13,TXN10013,Online Shopping,1387.43,,812.37
2026-10-14,TXN10014,Fuel,757.05,,55.32
2026-10-15,TXN10015,Insurance Payment,1547.28,,-1491.96
2026-10-16,TXN10016,Electricity Bill,1940.31,,-3432.27
2026-10-17,TXN10017,Money Transfer,781.72,,-4213.99
2026-10-18,TXN10018,Money Transfer,57.91,,-4271.9
2026-10-19,TXN10019,Online Shopping,430.16,,-4702.06
2026-10-20,TXN10020,Grocery Store,1095.87,,-5797.93
2026-10-21,TXN10021,Electricity Bill,663.01,,-6460.94
2026-10-22,TXN10022,Refund,,2527.8,-3933.14
2026-10-23,TXN10023,Insurance Payment,176.74,,-4109.88
2026-10-24,TXN10024,Money Transfer,683.14,,-4793.02
2026-10-25,TXN10025,Refund,,1203.89,-3589.13
2026-10-26,TXN10026,Electricity Bill,1941.08,,-5530.21
2026-10-27,TXN10027,Electricity Bill,122.0,,-5652.21
2026-10-28,TXN10028,Insurance Payment,637.27,,-6289.48
2026-10-01,TXN10029,Money Transfer,1332.89,,-7622.37
2026-10-02,TXN10030,Refund,,4659.2,-2963.17
2026-10-03,TXN10031,Salary,,1173.6,-1789.57
2026-10-04,TXN10032,Money Transfer,1893.85,,-3683.42
2026-10-05,TXN10033,Money Transfer,341.84,,-4025.26
2026-10-06,TXN10034,Salary,,2486.98,-1538.28
2026-10-07,TXN10035,Electricity Bill,1898.0,,-3436.28
2026-10-08,TXN10036,Mobile Recharge,1942.45,,-5378.73
2026-10-09,TXN10037,Insurance Payment,528.69,,-5907.42
2026-10-10,TXN10038,Grocery Store,329.85,,-6237.27
2026-10-11,TXN10039,Refund,,1303.07,-4934.2
2026-10-12,TXN10040,Salary,,1701.62,-3232.58
2026-10-13,TXN10041,Grocery Store,371.63,,-3604.21
2026-10-14,TXN10042,Fuel,1888.9,,-5493.11
2026-10-15,TXN10043,Online Shopping,1566.15,,-7059.26
2026-10-16,TXN10044,Insurance Payment,1557.06,,-8616.32
2026-10-17,TXN10045,Restaurant,897.69,,-9514.01
2026-10-18,TXN10046,ATM Withdrawal,1112.46,,-10626.47
2026-10-19,TXN10047,ATM Withdrawal,696.73,,-11323.2
2026-10-20,TXN10048,Restaurant,523.11,,-11846.31
2026-10-21,TXN10049,Grocery Store,923.71,,-12770.02
2026-10-22,TXN10050,Money Transfer,358.55,,-13128.57
2026-10-23,TXN10051,Insurance Payment,1363.04,,-14491.61
2026-10-24,TXN10052,Electricity Bill,1485.83,,-15977.44
2026-10-25,TXN10053,Grocery Store,1064.21,,-17041.65
2026-10-26,TXN10054,Money Transfer,1024.77,,-18066.42
2026-10-27,TXN10055,Online Shopping,1004.3,,-19070.72
2026-10-28,TXN10056,Insurance Payment,1801.08,,-20871.8
2026-10-01,TXN10057,Online Shopping,869.85,,-21741.65
2026-10-02,TXN10058,Money Transfer,731.0,,-22472.65
2026-10-03,TXN10059,Mobile Recharge,1005.3,,-23477.95
2026-10-04,TXN10060,Online Shopping,1139.5,,-24617.45
2026-10-05,TXN10061,Salary,,4859.05,-19758.4
2026-10-06,TXN10062,Mobile Recharge,1666.68,,-21425.08
2026-10-07,TXN10063,ATM Withdrawal,905.23,,-22330.31
2026-10-08,TXN10064,Salary,,727.58,-21602.73
2026-10-09,TXN10065,Salary,,1184.05,-20418.68
2026-10-10,TXN10066,Money Transfer,935.45,,-21354.13
2026-10-11,TXN10067,Insurance Payment,321.63,,-21675.76
2026-10-12,TXN10068,Mobile Recharge,1560.47,,-23236.23
2026-10-13,TXN10069,Insurance Payment,719.3,,-23955.53
2026-10-14,TXN10070,Grocery Store,1800.99,,-25756.52
2026-10-15,TXN10071,Subscription,943.58,,-26700.1
2026-10-16,TXN10072,Restaurant,1316.58,,-28016.68
2026-10-17,TXN10073,Refund,,1191.32,-26825.36
2026-10-18,TXN10074,Electricity Bill,679.97,,-27505.33
2026-10-19,TXN10075,ATM Withdrawal,1389.69,,-28895.02
2026-10-20,TXN10076,Fuel,1814.1,,-30709.12
