User Name: Reyansh Joshi
Account Number: 111111011
Bank: Sunrise Bank
Branch: Dallas
IFSC: BANK0000011

Date,Transaction ID,Description,Debit,Credit,Balance
2026-11-01,TXN11001,Refund,,4355.88,16766.88
2026-11-02,TXN11002,Insurance Payment,931.07,,15835.81
2026-11-03,TXN11003,Money Transfer,420.31,,15415.5
2026-11-04,TXN11004,Refund,,2640.93,18056.43
2026-11-05,TXN11005,Money Transfer,1596.3,,16460.13
2026-11-06,TXN11006,Salary,,2509.67,18969.8
2026-11-07,TXN11007,Online Shopping,226.81,,18742.99
2026-11-08,TXN11008,Subscription,1287.18,,17455.81
2026-11-09,TXN11009,Money Transfer,1965.28,,15490.53
2026-11-10,TXN11010,Insurance Payment,1325.15,,14165.38
2026-11-11,TXN11011,Money Transfer,1317.64,,12847.74
2026-11-12,TXN11012,Money Transfer,79.25,,12768.49
2026-11-13,TXN11013,Refund,,784.24,13552.73
2026-11-14,TXN11014,ATM Withdrawal,420.91,,13131.82
2026-11-15,TXN11015,Electricity Bill,1219.26,,11912.56
2026-11-16,TXN11016,Insurance Payment,686.27,,11226.29
2026-11-17,TXN11017,Money Transfer,1692.73,,9533.56
2026-11-18,TXN11018,Refund,,1551.41,11084.97
2026-11-19,TXN11019,Grocery Store,1024.56,,10060.41
2026-11-20,TXN11020,Fuel,215.73,,9844.68
2026-11-21,TXN11021,Fuel,592.42,,9252.26
2026-11-22,TXN11022,Refund,,4980.61,14232.87
2026-11-23,TXN11023,Salary,,3685.14,17918.01
2026-11-24,TXN11024,Restaurant,1528.08,,16389.93
2026-11-25,TXN11025,Refund,,1800.68,18190.61
2026-11-26,TXN11026,Salary,,3034.14,21224.75
2026-11-27,TXN11027,Salary,,2301.8,23526.55
2026-11-28,TXN11028,Grocery Store,803.7,,22722.85
2026-11-01,TXN11029,ATM Withdrawal,1702.25,,21020.6
2026-11-02,TXN11030,ATM Withdrawal,466.33,,20554.27
2026-11-03,TXN11031,ATM Withdrawal,966.48,,19587.79
2026-11-04,TXN11032,Subscription,824.98,,18762.81
2026-11-05,TXN11033,Salary,,3048.09,21810.9
2026-11-06,TXN11034,Electricity Bill,1568.1,,20242.8
2026-11-07,TXN11035,Grocery Store,706.94,,19535.86
2026-11-08,TXN11036,Grocery Store,698.54,,18837.32
2026-11-09,TXN11037,Mobile Recharge,1528.18,,17309.14
2026-11-10,TXN11038,Salary,,1105.68,18414.82
2026-11-11,TXN11039,Subscription,247.04,,18167.78
2026-11-12,TXN11040,ATM Withdrawal,956.63,,17211.15
2026-11-13,TXN11041,Insurance Payment,396.47,,16814.68
2026-11-14,TXN11042,Refund,,1347.73,18162.41
2026-11-15,TXN11043,Refund,,1358.08,19520.49
2026-11-16,TXN11044,Subscription,1550.57,,17969.92
2026-11-17,TXN11045,Mobile Recharge,1305.24,,16664.68
2026-11-18,TXN11046,Salary,,2276.84,18941.52
2026-11-19,TXN11047,Electricity Bill,50.92,,18890.6
2026-11-20,TXN11048,Money Transfer,643.08,,18247.52
2026-11-21,TXN11049,ATM Withdrawal,460.88,,17786.64
2026-11-22,TXN11050,Mobile Recharge,1991.88,,15794.76
2026-11-23,TXN11051,Money Transfer,1301.58,,14493.18
2026-11-24,TXN11052,Salary,,689.49,15182.67
2026-11-25,TXN11053,Online Shopping,465.82,,14716.85
2026-11-26,TXN11054,Grocery Store,68.67,,14648.18
2026-11-27,TXN11055,Money Transfer,691.46,,13956.72
2026-11-28,TXN11056,Grocery Store,803.03,,13153.69
2026-11-01,TXN11057,Salary,,905.53,14059.22
2026-11-02,TXN11058,Money Transfer,1291.35,,12767.87
2026-11-03,TXN11059,ATM Withdrawal,1222.5,,11545.37
2026-11-04,TXN11060,Restaurant,1263.19,,10282.18
2026-11-05,TXN11061,Online Shopping,1920.31,,8361.87
2026-11-06,TXN11062,Insurance Payment,1673.1,,6688.77
2026-11-07,TXN11063,Online Shopping,1739.73,,4949.04
2026-11-08,TXN11064,Online Shopping,1273.13,,3675.91
2026-11-09,TXN11065,Grocery Store,1821.43,,1854.48
2026-11-10,TXN11066,Money Transfer,536.52,,1317.96
2026-11-11,TXN11067,Electricity Bill,359.03,,958.93
2026-11-12,TXN11068,Fuel,1883.79,,-924.86
2026-11-13,TXN11069,Electricity Bill,1389.6,,-2314.46
2026-11-14,TXN11070,Mobile Recharge,1770.27,,-4084.73
2026-11-15,TXN11071,Money Transfer,203.07,,-4287.8
2026-11-16,TXN11072,ATM Withdrawal,252.49,,-4540.29
2026-11-17,TXN11073,ATM Withdrawal,1049.09,,-5589.38
2026-11-18,TXN11074,Grocery Store,514.89,,-6104.27
2026-11-19,TXN11075,Subscription,813.64,,-6917.91
2026-11-20,TXN11076,Mobile Recharge,1656.25,,-8574.16
2026-11-21,TXN11077,Money Transfer,1007.45,,-9581.61
2026-11-22,TXN11078,Refund,,1289.45,-8292.16
2026-11-23,TXN11079,Subscription,1955.5,,-10247.66
2026-11-24,TXN11080,Online Shopping,495.37,,-10743.03
2026-11-25,TXN11081,Refund,,3440.78,-7302.25
2026-11-26,TXN11082,Money Transfer,1247.89,,-8550.14
2026-11-27,TXN11083,Grocery Store,464.18,,-9014.32
2026-11-28,TXN11084,Electricity Bill,1510.52,,-10524.84
2026-11-01,TXN11085,Salary,,1711.37,-8813.47
2026-11-02,TXN11086,Insurance Payment,535.67,,-9349.14
2026-11-03,TXN11087,ATM Withdrawal,393.69,,-9742.83
2026-11-04,TXN11088,Restaurant,1085.46,,-10828.29
2026-11-05,TXN11089,Online Shopping,229.77,,-11058.06
2026-11-06,TXN11090,Online Shopping,1787.33,,-12845.39
2026-11-07,TXN11091,Restaurant,1331.02,,-14176.41
2026-11-08,TXN11092,Subscription,1067.78,,-15244.19
2026-11-09,TXN11093,Online Shopping,1200.26,,-16444.45
2026-11-10,TXN11094,ATM Withdrawal,975.85,,-17420.3
2026-11-11,TXN11095,Restaurant,1416.89,,-18837.19
2026-11-12,TXN11096,ATM Withdrawal,91.46,,-18928.65
2026-11-13,TXN11097,Fuel,195.93,,-19124.58
2026-11-14,TXN11098,Salary,,3787.24,-15337.34
2026-11-15,TXN11099,Restaurant,316.38,,-15653.72
2026-11-16,TXN11100,Salary,,838.68,-14815.04
