User Name: Aadhya Menon
Account Number: 111111012
Bank: Horizon Bank
Branch: Atlanta
IFSC: BANK0000012

Date,Transaction ID,Description,Debit,Credit,Balance
2026-12-01,TXN12001,Grocery Store,1332.07,,11442.93
2026-12-02,TXN12002,Fuel,732.08,,10710.85
2026-12-03,TXN12003,Mobile Recharge,71.18,,10639.67
2026-12-04,TXN12004,Restaurant,990.95,,9648.72
2026-12-05,TXN12005,Fuel,1630.18,,8018.54
2026-12-06,TXN12006,Subscription,1735.47,,6283.07
2026-12-07,TXN12007,Electricity Bill,1138.47,,5144.6
2026-12-08,TXN12008,Fuel,1267.25,,3877.35
2026-12-09,TXN12009,Insurance Payment,766.93,,3110.42
2026-12-10,TXN12010,Restaurant,1816.65,,1293.77
2026-12-11,TXN12011,ATM Withdrawal,1173.62,,120.15
2026-12-12,TXN12012,Electricity Bill,195.49,,-75.34
2026-12-13,TXN12013,Fuel,1647.54,,-1722.88
2026-12-14,TXN12014,Fuel,839.0,,-2561.88
2026-12-15,TXN12015,Salary,,583.72,-1978.16
2026-12-16,TXN12016,ATM Withdrawal,1648.32,,-3626.48
2026-12-17,TXN12017,Fuel,1042.41,,-4668.89
2026-12-18,TXN12018,Salary,,4952.53,283.64
2026-12-19,TXN12019,Mobile Recharge,1896.09,,-1612.45
2026-12-20,TXN12020,Salary,,3473.89,1861.44
2026-12-21,TXN12021,Online Shopping,1102.01,,759.43
2026-12-22,TXN12022,Money Transfer,1138.42,,-378.99
2026-12-23,TXN12023,Subscription,1776.87,,-2155.86
2026-12-24,TXN12024,Refund,,1270.46,-885.4
2026-12-25,TXN12025,Salary,,2302.33,1416.93
2026-12-26,TXN12026,Mobile Recharge,1352.89,,64.04
2026-12-27,TXN12027,Insurance Payment,979.7,,-915.66
2026-12-28,TXN12028,Mobile Recharge,1105.24,,-2020.9
2026-12-01,TXN12029,Fuel,1466.34,,-3487.24
2026-12-02,TXN12030,Electricity Bill,1953.79,,-5441.03
2026-12-03,TXN12031,Fuel,560.05,,-6001.08
2026-12-04,TXN12032,Restaurant,1738.96,,-7740.04
2026-12-05,TXN12033,Mobile Recharge,1363.86,,-9103.9
2026-12-06,TXN12034,Salary,,1635.7,-7468.2
2026-12-07,TXN12035,Restaurant,758.48,,-8226.68
2026-12-08,TXN12036,Refund,,3079.53,-5147.15
2026-12-09,TXN12037,Refund,,1307.34,-3839.81
2026-12-10,TXN12038,Mobile Recharge,1654.01,,-5493.82
2026-12-11,TXN12039,Mobile Recharge,113.79,,-5607.61
2026-12-12,TXN12040,ATM Withdrawal,483.23,,-6090.84
2026-12-13,TXN12041,Mobile Recharge,134.79,,-6225.63
2026-12-14,TXN12042,Electricity Bill,1555.24,,-7780.87
2026-12-15,TXN12043,Salary,,3889.83,-3891.04
2026-12-16,TXN12044,Electricity Bill,397.2,,-4288.24
2026-12-17,TXN12045,Subscription,583.88,,-4872.12
2026-12-18,TXN12046,Mobile Recharge,589.27,,-5461.39
2026-12-19,TXN12047,Restaurant,1224.03,,-6685.42
2026-12-20,TXN12048,Subscription,151.51,,-6836.93
2026-12-21,TXN12049,Insurance Payment,768.2,,-7605.13
2026-12-22,TXN12050,Restaurant,599.7,,-8204.83
2026-12-23,TXN12051,Insurance Payment,1409.05,,-9613.88
2026-12-24,TXN12052,Insurance Payment,517.83,,-10131.71
2026-12-25,TXN12053,Online Shopping,956.22,,-11087.93
2026-12-26,TXN12054,Refund,,2138.87,-8949.06
2026-12-27,TXN12055,Electricity Bill,1544.55,,-10493.61
2026-12-28,TXN12056,Electricity Bill,1828.48,,-12322.09
2026-12-01,TXN12057,ATM Withdrawal,1898.01,,-14220.1
2026-12-02,TXN12058,Restaurant,400.1,,-14620.2
2026-12-03,TXN12059,ATM Withdrawal,1027.74,,-15647.94
2026-12-04,TXN12060,Electricity Bill,1257.2,,-16905.14
2026-12-05,TXN12061,Restaurant,1997.07,,-18902.21
2026-12-06,TXN12062,Refund,,1196.63,-17705.58
2026-12-07,TXN12063,Restaurant,1769.83,,-19475.41
2026-12-08,TXN12064,Fuel,1672.31,,-21147.72
2026-12-09,TXN12065,Fuel,280.31,,-21428.03
2026-12-10,TXN12066,Refund,,2759.91,-18668.12
2026-12-11,TXN12067,Insurance Payment,1272.66,,-19940.78
2026-12-12,TXN12068,Grocery Store,1384.84,,-21325.62
2026-12-13,TXN12069,Insurance Payment,1793.92,,-23119.54
2026-12-14,TXN12070,Online Shopping,925.15,,-24044.69
2026-12-15,TXN12071,Money Transfer,1752.68,,-25797.37
2026-12-16,TXN12072,Grocery Store,693.5,,-26490.87
2026-12-17,TXN12073,Refund,,3381.04,-23109.83
2026-12-18,TXN12074,Insurance Payment,1424.16,,-24533.99
2026-12-19,TXN12075,Electricity Bill,1481.31,,-26015.3
2026-12-20,TXN12076,Refund,,1647.24,-24368.06
2026-12-21,TXN12077,Fuel,57.2,,-24425.26
2026-12-22,TXN12078,ATM Withdrawal,306.88,,-24732.14
2026-12-23,TXN12079,Grocery Store,869.63,,-25601.77
2026-12-24,TXN12080,Electricity Bill,440.52,,-26042.29
2026-12-25,TXN12081,Insurance Payment,1959.98,,-28002.27
2026-12-26,TXN12082,Refund,,3065.92,-24936.35
2026-12-27,TXN12083,Subscription,1843.87,,-26780.22
2026-12-28,TXN12084,Grocery Store,1532.85,,-28313.07
2026-12-01,TXN12085,Mobile Recharge,890.79,,-29203.86
2026-12-02,TXN12086,Salary,,4554.33,-24649.53
2026-12-03,TXN12087,Electricity Bill,1181.32,,-25830.85
2026-12-04,TXN12088,Restaurant,1961.02,,-27791.87
2026-12-05,TXN12089,Fuel,1484.88,,-29276.75
2026-12-06,TXN12090,Money Transfer,363.8,,-29640.55
2026-12-07,TXN12091,Subscription,1434.76,,-31075.31
2026-12-08,TXN12092,ATM Withdrawal,1605.58,,-32680.89
2026-12-09,TXN12093,Salary,,4597.3,-28083.59
2026-12-10,TXN12094,Refund,,1400.76,-26682.83
2026-12-11,TXN12095,Mobile Recharge,1595.2,,-28278.03
2026-12-12,TXN12096,Subscription,738.68,,-29016.71
2026-12-13,TXN12097,Grocery Store,577.86,,-29594.57
2026-12-14,TXN12098,Subscription,1388.82,,-30983.39
2026-12-15,TXN12099,Insurance Payment,1263.11,,-32246.5
2026-12-16,TXN12100,Salary,,1453.62,-30792.88
