User Name: Vihaan Kapoor
Account Number: 111111013
Bank: Pioneer Bank
Branch: Portland
IFSC: BANK0000013

Date,Transaction ID,Description,Debit,Credit,Balance
2026-01-01,TXN13001,Grocery Store,1386.25,,7856.75
2026-01-02,TXN13002,Fuel,1613.91,,6242.84
2026-01-03,TXN13003,Online Shopping,1321.42,,4921.42
2026-01-04,TXN13004,Fuel,336.96,,4584.46
2026-01-05,TXN13005,Electricity Bill,1299.87,,3284.59
2026-01-06,TXN13006,Online Shopping,303.92,,2980.67
2026-01-07,TXN13007,Refund,,4306.06,7286.73
2026-01-08,TXN13008,Subscription,624.58,,6662.15
2026-01-09,TXN13009,Mobile Recharge,296.28,,6365.87
2026-01-10,TXN13010,Fuel,1236.38,,5129.49
2026-01-11,TXN13011,ATM Withdrawal,1986.3,,3143.19
2026-01-12,TXN13012,Online Shopping,215.65,,2927.54
2026-01-13,TXN13013,Grocery Store,1661.41,,1266.13
2026-01-14,TXN13014,Subscription,901.69,,364.44
2026-01-15,TXN13015,Online Shopping,1597.85,,-1233.41
2026-01-16,TXN13016,Grocery Store,743.69,,-1977.1
2026-01-17,TXN13017,Electricity Bill,999.23,,-2976.33
2026-01-18,TXN13018,Refund,,3038.62,62.29
2026-01-19,TXN13019,Mobile Recharge,1357.92,,-1295.63
2026-01-20,TXN13020,Mobile Recharge,1295.36,,-2590.99
2026-01-21,TXN13021,Fuel,278.85,,-2869.84
2026-01-22,TXN13022,Money Transfer,1606.6,,-4476.44
2026-01-23,TXN13023,Grocery Store,1397.3,,-5873.74
2026-01-24,TXN13024,Refund,,3250.35,-2623.39
2026-01-25,TXN13025,Online Shopping,908.74,,-3532.13
2026-01-26,TXN13026,Subscription,914.63,,-4446.76
2026-01-27,TXN13027,Online Shopping,621.95,,-5068.71
2026-01-28,TXN13028,Online Shopping,1069.25,,-6137.96
2026-01-01,TXN13029,Grocery Store,773.67,,-6911.63
2026-01-02,TXN13030,Grocery Store,1230.72,,-8142.35
2026-01-03,TXN13031,Mobile Recharge,1784.07,,-9926.42
2026-01-04,TXN13032,Money Transfer,1007.17,,-10933.59
2026-01-05,TXN13033,Electricity Bill,1152.45,,-12086.04
2026-01-06,TXN13034,Electricity Bill,1418.02,,-13504.06
2026-01-07,TXN13035,Online Shopping,192.89,,-13696.95
2026-01-08,TXN13036,Fuel,1276.72,,-14973.67
2026-01-09,TXN13037,Insurance Payment,809.89,,-15783.56
2026-01-10,TXN13038,Subscription,877.41,,-16660.97
2026-01-11,TXN13039,ATM Withdrawal,488.56,,-17149.53
2026-01-12,TXN13040,Insurance Payment,1621.89,,-18771.42
2026-01-13,TXN13041,Insurance Payment,1296.16,,-20067.58
2026-01-14,TXN13042,Online Shopping,1479.65,,-21547.23
2026-01-15,TXN13043,Subscription,1743.07,,-23290.3
2026-01-16,TXN13044,Restaurant,445.96,,-23736.26
2026-01-17,TXN13045,Fuel,780.77,,-24517.03
2026-01-18,TXN13046,Subscription,1330.88,,-25847.91
2026-01-19,TXN13047,Subscription,1226.83,,-27074.74
2026-01-20,TXN13048,Subscription,1017.87,,-28092.61
2026-01-21,TXN13049,Money Transfer,133.0,,-28225.61
2026-01-22,TXN13050,Subscription,1202.89,,-29428.5
2026-01-23,TXN13051,Restaurant,1186.9,,-30615.4
2026-01-24,TXN13052,Money Transfer,715.6,,-31331.0
2026-01-25,TXN13053,Grocery Store,426.11,,-31757.11
2026-01-26,TXN13054,Fuel,1132.82,,-32889.93
2026-01-27,TXN13055,Electricity Bill,376.29,,-33266.22
2026-01-28,TXN13056,Mobile Recharge,1304.88,,-34571.1
2026-01-01,TXN13057,Refund,,4131.54,-30439.56
2026-01-02,TXN13058,Subscription,125.71,,-30565.27
2026-01-03,TXN13059,Insurance Payment,1659.45,,-32224.72
2026-01-04,TXN13060,Fuel,230.69,,-32455.41
2026-01-05,TXN13061,ATM Withdrawal,296.64,,-32752.05
2026-01-06,TXN13062,Grocery Store,286.96,,-33039.01
2026-01-07,TXN13063,Grocery Store,1818.14,,-34857.15
2026-01-08,TXN13064,Money Transfer,1214.65,,-36071.8
2026-01-09,TXN13065,Salary,,4722.81,-31348.99
2026-01-10,TXN13066,Refund,,2150.14,-29198.85
2026-01-11,TXN13067,ATM Withdrawal,61.15,,-29260.0
2026-01-12,TXN13068,Restaurant,352.37,,-29612.37
2026-01-13,TXN13069,Refund,,4864.04,-24748.33
2026-01-14,TXN13070,Refund,,4209.55,-20538.78
2026-01-15,TXN13071,Electricity Bill,1355.53,,-21894.31
