User Name: Meera Shah
Account Number: 111111014
Bank: Summit Bank
Branch: San Diego
IFSC: BANK0000014

Date,Transaction ID,Description,Debit,Credit,Balance
2026-02-01,TXN14001,Money Transfer,1420.04,,5329.96
2026-02-02,TXN14002,Fuel,1077.87,,4252.09
2026-02-03,TXN14003,Electricity Bill,578.67,,3673.42
2026-02-04,TXN14004,Grocery Store,617.48,,3055.94
2026-02-05,TXN14005,Salary,,3463.03,6518.97
2026-02-06,TXN14006,Grocery Store,959.91,,5559.06
2026-02-07,TXN14007,Mobile Recharge,817.93,,4741.13
2026-02-08,TXN14008,Salary,,1685.82,6426.95
2026-02-09,TXN14009,Restaurant,748.16,,5678.79
2026-02-10,TXN14010,Grocery Store,753.31,,4925.48
2026-02-11,TXN14011,Fuel,1281.74,,3643.74
2026-02-12,TXN14012,Online Shopping,364.05,,3279.69
2026-02-13,TXN14013,Fuel,1344.8,,1934.89
2026-02-14,TXN14014,Online Shopping,70.68,,1864.21
2026-02-15,TXN14015,Salary,,1053.62,2917.83
2026-02-16,TXN14016,Restaurant,104.19,,2813.64
2026-02-17,TXN14017,Grocery Store,448.62,,2365.02
2026-02-18,TXN14018,Mobile Recharge,837.17,,1527.85
2026-02-19,TXN14019,Insurance Payment,1798.0,,-270.15
2026-02-20,TXN14020,Salary,,4426.68,4156.53
2026-02-21,TXN14021,Fuel,1778.0,,2378.53
2026-02-22,TXN14022,Money Transfer,1198.71,,1179.82
2026-02-23,TXN14023,Fuel,760.3,,419.52
2026-02-24,TXN14024,Salary,,3861.52,4281.04
2026-02-25,TXN14025,Insurance Payment,1051.87,,3229.17
2026-02-26,TXN14026,Electricity Bill,578.12,,2651.05
2026-02-27,TXN14027,Money Transfer,475.47,,2175.58
2026-02-28,TXN14028,Grocery Store,1025.94,,1149.64
2026-02-01,TXN14029,Salary,,1045.33,2194.97
2026-02-02,TXN14030,Salary,,1753.84,3948.81
2026-02-03,TXN14031,Salary,,625.99,4574.8
2026-02-04,TXN14032,Subscription,853.14,,3721.66
2026-02-05,TXN14033,Fuel,1075.24,,2646.42
2026-02-06,TXN14034,Salary,,2413.35,5059.77
2026-02-07,TXN14035,Fuel,378.33,,4681.44
2026-02-08,TXN14036,Mobile Recharge,937.58,,3743.86
2026-02-09,TXN14037,Insurance Payment,946.66,,2797.2
2026-02-10,TXN14038,Mobile Recharge,1211.12,,1586.08
2026-02-11,TXN14039,Salary,,1653.7,3239.78
2026-02-12,TXN14040,Mobile Recharge,510.71,,2729.07
2026-02-13,TXN14041,Money Transfer,1881.09,,847.98
2026-02-14,TXN14042,Salary,,3060.91,3908.89
2026-02-15,TXN14043,Insurance Payment,1421.77,,2487.12
2026-02-16,TXN14044,Money Transfer,910.74,,1576.38
2026-02-17,TXN14045,Subscription,841.09,,735.29
2026-02-18,TXN14046,Mobile Recharge,90.55,,644.74
2026-02-19,TXN14047,Subscription,1160.33,,-515.59
2026-02-20,TXN14048,Insurance Payment,563.9,,-1079.49
2026-02-21,TXN14049,Grocery Store,1083.65,,-2163.14
2026-02-22,TXN14050,ATM Withdrawal,1275.41,,-3438.55
2026-02-23,TXN14051,Insurance Payment,1605.53,,-5044.08
2026-02-24,TXN14052,Salary,,2245.52,-2798.56
2026-02-25,TXN14053,ATM Withdrawal,425.16,,-3223.72
2026-02-26,TXN14054,ATM Withdrawal,1966.67,,-5190.39
2026-02-27,TXN14055,Money Transfer,1038.0,,-6228.39
2026-02-28,TXN14056,Refund,,4712.59,-1515.8
2026-02-01,TXN14057,Restaurant,1980.1,,-3495.9
2026-02-02,TXN14058,Salary,,658.13,-2837.77
2026-02-03,TXN14059,Online Shopping,1561.16,,-4398.93
2026-02-04,TXN14060,ATM Withdrawal,498.57,,-4897.5
2026-02-05,TXN14061,Refund,,1690.46,-3207.04
2026-02-06,TXN14062,Electricity Bill,455.31,,-3662.35
2026-02-07,TXN14063,Fuel,1838.42,,-5500.77
2026-02-08,TXN14064,Grocery Store,1456.76,,-6957.53
2026-02-09,TXN14065,Restaurant,111.48,,-7069.01
2026-02-10,TXN14066,Money Transfer,1495.46,,-8564.47
2026-02-11,TXN14067,Online Shopping,1040.89,,-9605.36
2026-02-12,TXN14068,Electricity Bill,764.62,,-10369.98
2026-02-13,TXN14069,Mobile Recharge,527.5,,-10897.48
2026-02-14,TXN14070,Mobile Recharge,1114.59,,-12012.07
2026-02-15,TXN14071,Restaurant,1001.53,,-13013.6
2026-02-16,TXN14072,Money Transfer,111.53,,-13125.13
2026-02-17,TXN14073,Fuel,1870.59,,-14995.72
2026-02-18,TXN14074,Insurance Payment,1558.43,,-16554.15
2026-02-19,TXN14075,Salary,,1682.39,-14871.76
2026-02-20,TXN14076,Salary,,1084.55,-13787.21
2026-02-21,TXN14077,ATM Withdrawal,1399.87,,-15187.08
2026-02-22,TXN14078,Online Shopping,462.54,,-15649.62
2026-02-23,TXN14079,Insurance Payment,922.39,,-16572.01
2026-02-24,TXN14080,Refund,,4536.24,-12035.77
2026-02-25,TXN14081,ATM Withdrawal,1580.93,,-13616.7
2026-02-26,TXN14082,Grocery Store,1422.59,,-15039.29
2026-02-27,TXN14083,Refund,,2412.53,-12626.76
2026-02-28,TXN14084,Online Shopping,917.47,,-13544.23
2026-02-01,TXN14085,Salary,,1159.18,-12385.05
2026-02-02,TXN14086,Subscription,385.2,,-12770.25
2026-02-03,TXN14087,ATM Withdrawal,1352.74,,-14122.99
2026-02-04,TXN14088,Electricity Bill,1963.74,,-16086.73
2026-02-05,TXN14089,Fuel,1648.96,,-17735.69
2026-02-06,TXN14090,Money Transfer,1330.74,,-19066.43
2026-02-07,TXN14091,Refund,,3664.45,-15401.98
2026-02-08,TXN14092,Money Transfer,842.73,,-16244.71
2026-02-09,TXN14093,Grocery Store,1920.47,,-18165.18
2026-02-10,TXN14094,Restaurant,1869.99,,-20035.17
2026-02-11,TXN14095,Restaurant,170.72,,-20205.89
2026-02-12,TXN14096,Fuel,1301.22,,-21507.11
