User Name: Rudra Verma
Account Number: 111111015
Bank: Evergreen Bank
Branch: Philadelphia
IFSC: BANK0000015

Date,Transaction ID,Description,Debit,Credit,Balance
2026-03-01,TXN15001,ATM Withdrawal,1066.57,,7356.43
2026-03-02,TXN15002,ATM Withdrawal,358.12,,6998.31
2026-03-03,TXN15003,Electricity Bill,82.92,,6915.39
2026-03-04,TXN15004,Fuel,337.13,,6578.26
2026-03-05,TXN15005,Subscription,1999.64,,4578.62
2026-03-06,TXN15006,Electricity Bill,278.4,,4300.22
2026-03-07,TXN15007,Insurance Payment,1430.98,,2869.24
2026-03-08,TXN15008,Grocery Store,814.94,,2054.3
2026-03-09,TXN15009,Restaurant,495.79,,1558.51
2026-03-10,TXN15010,Electricity Bill,1755.34,,-196.83
2026-03-11,TXN15011,Restaurant,485.61,,-682.44
2026-03-12,TXN15012,Subscription,1047.17,,-1729.61
2026-03-13,TXN15013,Electricity Bill,1175.44,,-2905.05
2026-03-14,TXN15014,Mobile Recharge,1004.76,,-3909.81
2026-03-15,TXN15015,Insurance Payment,1151.15,,-5060.96
2026-03-16,TXN15016,Restaurant,906.64,,-5967.6
2026-03-17,TXN15017,Restaurant,1863.92,,-7831.52
2026-03-18,TXN15018,Fuel,928.65,,-8760.17
2026-03-19,TXN15019,Salary,,2706.15,-6054.02
2026-03-20,TXN15020,ATM Withdrawal,431.64,,-6485.66
2026-03-21,TXN15021,Refund,,1274.88,-5210.78
2026-03-22,TXN15022,Subscription,1695.98,,-6906.76
2026-03-23,TXN15023,ATM Withdrawal,608.9,,-7515.66
2026-03-24,TXN15024,Insurance Payment,345.79,,-7861.45
2026-03-25,TXN15025,Salary,,4513.25,-3348.2
2026-03-26,TXN15026,Mobile Recharge,142.46,,-3490.66
2026-03-27,TXN15027,Insurance Payment,1464.83,,-4955.49
2026-03-28,TXN15028,Refund,,1831.2,-3124.29
2026-03-01,TXN15029,Refund,,1545.66,-1578.63
2026-03-02,TXN15030,Refund,,4766.6,3187.97
