User Name: Jane Smith
Account Number: 987654321
Bank: XYZ Bank
Branch: Los Angeles
IFSC: XYZD0987654

Date,Transaction ID,Description,Debit,Credit,Balance
2026-02-01,TXN001,Subscription,1106.85,,10317.15
2026-02-02,TXN002,Electricity Bill,1343.53,,8973.62
2026-02-03,TXN003,Grocery Store,285.29,,8688.33
2026-02-04,TXN004,Insurance Payment,489.6,,8198.73
2026-02-05,TXN005,Refund,,1148.1,9346.83
2026-02-06,TXN006,Salary,,4790.63,14137.46
2026-02-07,TXN007,Restaurant,1932.08,,12205.38
2026-02-08,TXN008,Online Shopping,1260.83,,10944.55
2026-02-09,TXN009,Subscription,1668.6,,9275.95
2026-02-10,TXN010,Refund,,2058.85,11334.8
2026-02-11,TXN011,ATM Withdrawal,119.24,,11215.56
2026-02-12,TXN012,Online Shopping,1800.28,,9415.28
2026-02-13,TXN013,Mobile Recharge,1620.47,,7794.81
2026-02-14,TXN014,ATM Withdrawal,1821.18,,5973.63
2026-02-15,TXN015,Restaurant,915.18,,5058.45
2026-02-16,TXN016,ATM Withdrawal,968.8,,4089.65
2026-02-17,TXN017,Restaurant,1915.82,,2173.83
2026-02-18,TXN018,Refund,,3533.26,5707.09
2026-02-19,TXN019,Online Shopping,1915.14,,3791.95
2026-02-20,TXN020,Money Transfer,1657.79,,2134.16
2026-02-21,TXN021,Electricity Bill,381.02,,1753.14
2026-02-22,TXN022,ATM Withdrawal,1813.4,,-60.26
2026-02-23,TXN023,Insurance Payment,363.71,,-423.97
2026-02-24,TXN024,Money Transfer,164.16,,-588.13
2026-02-25,TXN025,Salary,,4226.73,3638.6
2026-02-26,TXN026,Subscription,1258.9,,2379.7
2026-02-27,TXN027,Subscription,1388.8,,990.9
2026-02-28,TXN028,Online Shopping,1631.93,,-641.03
2026-02-01,TXN029,ATM Withdrawal,1325.66,,-1966.69
2026-02-02,TXN030,Grocery Store,1789.53,,-3756.22
2026-02-03,TXN031,ATM Withdrawal,976.09,,-4732.31
2026-02-04,TXN032,Mobile Recharge,1569.48,,-6301.79
2026-02-05,TXN033,Salary,,3818.81,-2482.98
2026-02-06,TXN034,Refund,,3716.85,1233.87
2026-02-07,TXN035,ATM Withdrawal,1156.63,,77.24
2026-02-08,TXN036,Insurance Payment,889.0,,-811.76
2026-02-09,TXN037,Restaurant,1291.57,,-2103.33
2026-02-10,TXN038,ATM Withdrawal,89.32,,-2192.65
2026-02-11,TXN039,Subscription,1049.8,,-3242.45
2026-02-12,TXN040,Refund,,2062.05,-1180.4
2026-02-13,TXN041,Mobile Recharge,1926.86,,-3107.26
2026-02-14,TXN042,Insurance Payment,1304.06,,-4411.32
2026-02-15,TXN043,ATM Withdrawal,1292.95,,-5704.27
2026-02-16,TXN044,Grocery Store,151.49,,-5855.76
2026-02-17,TXN045,Grocery Store,1431.99,,-7287.75
2026-02-18,TXN046,ATM Withdrawal,1329.84,,-8617.59
2026-02-19,TXN047,Grocery Store,1650.24,,-10267.83
2026-02-20,TXN048,Restaurant,429.74,,-10697.57
2026-02-21,TXN049,Fuel,250.01,,-10947.58
2026-02-22,TXN050,Insurance Payment,288.44,,-11236.02
2026-02-23,TXN051,Refund,,4056.19,-7179.83
2026-02-24,TXN052,Subscription,1784.28,,-8964.11
2026-02-25,TXN053,Salary,,2255.85,-6708.26
2026-02-26,TXN054,Fuel,392.36,,-7100.62
2026-02-27,TXN055,Refund,,3539.06,-3561.56
2026-02-28,TXN056,Money Transfer,1294.63,,-4856.19
2026-02-01,TXN057,Mobile Recharge,1915.38,,-6771.57
2026-02-02,TXN058,Subscription,1755.15,,-8526.72
2026-02-03,TXN059,Money Transfer,1097.88,,-9624.6
2026-02-04,TXN060,Subscription,1926.36,,-11550.96
2026-02-05,TXN061,Subscription,1147.46,,-12698.42
2026-02-06,TXN062,Grocery Store,1975.93,,-14674.35
2026-02-07,TXN063,Money Transfer,726.16,,-15400.51
2026-02-08,TXN064,Online Shopping,258.5,,-15659.01
2026-02-09,TXN065,Electricity Bill,1732.31,,-17391.32
2026-02-10,TXN066,Fuel,1107.38,,-18498.7
2026-02-11,TXN067,Money Transfer,112.87,,-18611.57
2026-02-12,TXN068,Salary,,3720.9,-14890.67
2026-02-13,TXN069,Subscription,1837.38,,-16728.05
2026-02-14,TXN070,Online Shopping,1836.32,,-18564.37
2026-02-15,TXN071,Electricity Bill,1713.44,,-20277.81
2026-02-16,TXN072,Online Shopping,1108.0,,-21385.81
2026-02-17,TXN073,Mobile Recharge,1608.31,,-22994.12
2026-02-18,TXN074,Online Shopping,105.54,,-23099.66
2026-02-19,TXN075,Online Shopping,359.08,,-23458.74
2026-02-20,TXN076,Subscription,1546.42,,-25005.16
2026-02-21,TXN077,Salary,,963.75,-24041.41
2026-02-22,TXN078,Grocery Store,88.06,,-24129.47
2026-02-23,TXN079,Online Shopping,1802.0,,-25931.47
2026-02-24,TXN080,Refund,,2834.67,-23096.8
2026-02-25,TXN081,Online Shopping,1891.45,,-24988.25
2026-02-26,TXN082,ATM Withdrawal,922.62,,-25910.87
2026-02-27,TXN083,ATM Withdrawal,1034.32,,-26945.19
2026-02-28,TXN084,Fuel,1917.52,,-28862.71
2026-02-01,TXN085,Online Shopping,1912.98,,-30775.69
2026-02-02,TXN086,Electricity Bill,820.27,,-31595.96
2026-02-03,TXN087,Subscription,1105.68,,-32701.64
2026-02-04,TXN088,Refund,,3636.46,-29065.18
2026-02-05,TXN089,Mobile Recharge,115.25,,-29180.43
2026-02-06,TXN090,Grocery Store,324.11,,-29504.54
2026-02-07,TXN091,Electricity Bill,1198.35,,-30702.89
2026-02-08,TXN092,Electricity Bill,586.34,,-31289.23
2026-02-09,TXN093,Grocery Store,161.75,,-31450.98
