User Name: John Doe
Account Number: 123456789
Bank: ABC Bank
Branch: New York
IFSC: ABCD0123456

Date,Transaction ID,Description,Debit,Credit,Balance
2026-01-01,TXN001,Mobile Recharge,1096.14,,7553.86
2026-01-02,TXN002,Subscription,190.63,,7363.23
2026-01-03,TXN003,Electricity Bill,1025.65,,6337.58
2026-01-04,TXN004,Mobile Recharge,585.88,,5751.7
2026-01-05,TXN005,Mobile Recharge,1529.62,,4222.08
2026-01-06,TXN006,Refund,,3158.46,7380.54
2026-01-07,TXN007,Fuel,326.71,,7053.83
2026-01-08,TXN008,Salary,,620.33,7674.16
2026-01-09,TXN009,ATM Withdrawal,539.42,,7134.74
2026-01-10,TXN010,ATM Withdrawal,345.69,,6789.05
2026-01-11,TXN011,Insurance Payment,1414.24,,5374.81
2026-01-12,TXN012,Subscription,235.39,,5139.42
2026-01-13,TXN013,Restaurant,941.15,,4198.27
2026-01-14,TXN014,Insurance Payment,1535.56,,2662.71
2026-01-15,TXN015,Insurance Payment,800.89,,1861.82
2026-01-16,TXN016,Mobile Recharge,1721.94,,139.88
2026-01-17,TXN017,Subscription,926.93,,-787.05
2026-01-18,TXN018,Insurance Payment,1507.93,,-2294.98
2026-01-19,TXN019,Restaurant,1257.71,,-3552.69
2026-01-20,TXN020,Salary,,505.61,-3047.08
2026-01-21,TXN021,Grocery Store,1439.22,,-4486.3
2026-01-22,TXN022,Salary,,4322.48,-163.82
2026-01-23,TXN023,Insurance Payment,1339.77,,-1503.59
2026-01-24,TXN024,Refund,,4746.86,3243.27
2026-01-25,TXN025,ATM Withdrawal,1493.23,,1750.04
2026-01-26,TXN026,Money Transfer,1694.01,,56.03
2026-01-27,TXN027,Grocery Store,961.34,,-905.31
2026-01-28,TXN028,Online Shopping,832.88,,-1738.19
2026-01-01,TXN029,Online Shopping,542.13,,-2280.32
2026-01-02,TXN030,Subscription,266.07,,-2546.39
2026-01-03,TXN031,Money Transfer,1673.7,,-4220.09
2026-01-04,TXN032,Online Shopping,1562.68,,-5782.77
2026-01-05,TXN033,Money Transfer,145.6,,-5928.37
2026-01-06,TXN034,Fuel,1519.83,,-7448.2
2026-01-07,TXN035,Restaurant,646.34,,-8094.54
2026-01-08,TXN036,Grocery Store,360.27,,-8454.81
2026-01-09,TXN037,Restaurant,1045.22,,-9500.03
2026-01-10,TXN038,Subscription,634.99,,-10135.02
2026-01-11,TXN039,Grocery Store,858.15,,-10993.17
2026-01-12,TXN040,Mobile Recharge,1489.47,,-12482.64
2026-01-13,TXN041,Salary,,2156.15,-10326.49
2026-01-14,TXN042,Money Transfer,508.04,,-10834.53
2026-01-15,TXN043,Restaurant,392.64,,-11227.17
2026-01-16,TXN044,Mobile Recharge,952.49,,-12179.66
2026-01-17,TXN045,Refund,,4181.48,-7998.18
2026-01-18,TXN046,Subscription,1706.02,,-9704.2
2026-01-19,TXN047,Electricity Bill,455.07,,-10159.27
2026-01-20,TXN048,Fuel,1699.1,,-11858.37
2026-01-21,TXN049,Fuel,627.75,,-12486.12
2026-01-22,TXN050,Electricity Bill,449.0,,-12935.12
2026-01-23,TXN051,Grocery Store,1998.88,,-14934.0
2026-01-24,TXN052,Mobile Recharge,788.96,,-15722.96
2026-01-25,TXN053,Restaurant,1050.72,,-16773.68
2026-01-26,TXN054,Refund,,2942.54,-13831.14
2026-01-27,TXN055,Insurance Payment,1140.04,,-14971.18
2026-01-28,TXN056,Grocery Store,1323.9,,-16295.08
2026-01-01,TXN057,ATM Withdrawal,1254.62,,-17549.7
2026-01-02,TXN058,Mobile Recharge,801.53,,-18351.23
2026-01-03,TXN059,Subscription,1686.41,,-20037.64
2026-01-04,TXN060,Online Shopping,1369.32,,-21406.96
2026-01-05,TXN061,Restaurant,776.16,,-22183.12
2026-01-06,TXN062,Online Shopping,415.4,,-22598.52
2026-01-07,TXN063,Online Shopping,206.2,,-22804.72
2026-01-08,TXN064,Grocery Store,1672.08,,-24476.8
2026-01-09,TXN065,Grocery Store,266.17,,-24742.97
2026-01-10,TXN066,Refund,,4850.62,-19892.35
2026-01-11,TXN067,Grocery Store,1231.08,,-21123.43
2026-01-12,TXN068,Restaurant,766.14,,-21889.57
2026-01-13,TXN069,Refund,,4480.7,-17408.87
2026-01-14,TXN070,Fuel,1145.51,,-18554.38
2026-01-15,TXN071,Salary,,4524.72,-14029.66
2026-01-16,TXN072,ATM Withdrawal,1949.48,,-15979.14
2026-01-17,TXN073,Grocery Store,1849.99,,-17829.13
2026-01-18,TXN074,Refund,,1507.5,-16321.63
2026-01-19,TXN075,Money Transfer,381.63,,-16703.26
2026-01-20,TXN076,Refund,,3755.41,-12947.85
2026-01-21,TXN077,Fuel,1956.95,,-14904.8
2026-01-22,TXN078,Money Transfer,1844.05,,-16748.85
2026-01-23,TXN079,Refund,,3746.27,-13002.58
2026-01-24,TXN080,Refund,,3639.62,-9362.96
2026-01-25,TXN081,Salary,,1639.49,-7723.47
2026-01-26,TXN082,Money Transfer,1765.58,,-9489.05
2026-01-27,TXN083,Online Shopping,396.52,,-9885.57
